drug,effect
azithromycin,ototoxicity
dihydrotachysterol,increased calcium-release
dihydrotachysterol,hypercalcemia
naproxen,pseudoporphyria
oxaprozin,pseudoporphyria
naproxen,erythropoietic protoporphyria
naproxen,cutaneous fragility
oxaprozin,cutaneous fragility
naproxen,tense bullae
oxaprozin,tense bullae
clozapine,granulocytopenia
5-fluorouracil,neurotoxicity
5-fu,neurologic toxicity
5-fu,prolonged myelosuppression
5-fu,severe mucositis
bh-ac,encephalopathy syndrome
idarubicin,encephalopathy syndrome
riluzole,hepatitis
5-aminosalicylic acid,lupus-like syndrome
lidocaine,methemoglobinemia
bupivacaine,methemoglobinemia
aspirin,asthma
methotrexate,encephalopathy
mtx,neurotoxicity
epoprostenol,pulmonary edema
prednisone,pruritic bullous eruption
hydroxyurea,acute interstitial pneumonitis
hydroxyurea,interstitial pneumonitis
calcipotriol,irritant contact dermatitis
calcipotriol,allergic reactions
calcipotriol,irritation of the skin
calcipotriol,irritant type of reaction
pravastatin,myotonia
aspirin,angioedema
aspirin,systemic anaphylactoid reaction
aspirin,urticaria
omeprazole,eruption
salazosulfapyridine,diffuse erythema
salazosulfapyridine,fever up to 39 degrees c
salazosulfapyridine,malaise
salazosulfapyridine,pustules
salazosulfapyridine,acute generalized exanthematous pustulosis
olanzapine,elevated serum ck concentration
olanzapine,muscle injury with concomitant elevations of serum ck
olanzapine,elevation of serum creatine kinase
diclofenac,hepatitis
2-cda,lymphocytopenia
heparin,priapism
heparin,abnormal platelet aggregation
clozapine,agranulocytosis
clozapine,neutropenia
clozapine,diurnal variation of the white blood cells
all-trans-retinoic acid,acute neutrophilic dermatosis
paroxetine,hair loss
insulin,protamine allergy
insulin,angioedema
insulin,severe urticaria
insulin,wheezing
insulin,allergic symptoms
nph insulin,allergic symptoms
neutral protamine hagedorn (nph) insulin,protamine hypersensitivity
insulin,hives
nph,angioedema
insulin,urticaria
nph,urticaria
brimonidine,lethargic
brimonidine,poorly responsive
brimonidine,apneic
brimonidine,central nervous system depression
ceftriaxone,elevated hepato-biliary enzymes
ceftriaxone,transient biliary stasis
ceftriaxone,hepato-biliary abnormalities
methotrexate,anterior lumbosacral radiculopathy
methotrexate,progressive paraparesis
arsenic trioxide,decrease in the d-dimers
arsenic trioxide,slight decrease in peripheral blood leukocytes
minocycline,chills
minocycline,fatigue
minocycline,fever
minocycline,"generalized, pruritic, macular eruption"
minocycline,night sweats
 minocycline,mononucleosis-like syndrome
5-fu,life-threatening toxicity
5-fu,life-threatening complications
venlafaxine,acute ischaemic event
venlafaxine,ischaemic events
venlafaxine,acute cardiovascular event
venlafaxine,acute myocardial ischaemia
cyclophosphamide,embryopathy
cp,embryopathy
cp,multiple congenital anomalies
cyclosposphamide,blepharophimosis
cyclosposphamide,craniosynostosis
cyclosposphamide,developmental delay
cyclosposphamide,distal limb defects
cyclosposphamide,flat nasal bridge
cyclosposphamide,hypoplastic thumbs
cyclosposphamide,oligodactyly
cyclophosphamide,human teratogen
phenytoin,seizures
losartan,angioedema
danazol,hepatic adenomas
heparin,thrombocytopenia
heparin,hemorrhagic complications
taxane,glaucoma
doxetaxel,glaucoma
sodium phosphate,hyperphosphatemia
sodium biphosphate,hyperphosphatemia
amiodarone,prolongation of the qt interval
amiodarone,ventricular tachyarrhymias
amiodarone,torsades de pointes
diphenylhydantoin,gingival hyperplasia
d-pen,anemia
d-penicillamine,anemia
d-pen,thrombocytopenia
d-penicillamine,thrombocytopenia
d-pen,bicytopenia
d-penicillamine,inhibition of hematopoiesis
methimazole,agranulocytosis
alendronate sodium,hypocalcemic tetany
fleet phospho-soda,hypocalcemic tetany
alendronate,hypocalcemic tetany
fosamax,hypocalcemic tetany
alendronate,hypophosphatemia
fleet phospho-soda,hypophosphatemia
fosamax,hypophosphatemia
gemcitabine,thrombotic microangiopathy
gemcitabine,renal failure
infliximab,b-cell non-hodgkin's lymphoma
infliximab,lymphoma
infliximab,nodular sclerosing hodgkin's lymphoma
codeine,codeine intoxication
hydroxyurea,increase fetal hemoglobin
sodium phenylbutyrate,increase fetal hemoglobin
hu,increase in total hb
hu,hepatic toxicity
hu,mild reversible hematologic
hu,increasing hb f
sodium phenylbutyrate,increasing hb f
hu,increase total hb
hu,increases in total hb
spb,increases in total hb
oolong tea,delirious
oolong tea,delirium
caffeine,caffeine intoxication
oolong tea,caffeine intoxication
caffeine,rhabdomyolysis
oolong tea,rhabdomyolysis
caffeine,delirium
caffeine,hyponatremia
caffeine,water intoxication
caffeine,caffeine toxicity
caffeine,coexisting hyponatremia
caffeine,injured the muscle cells
caffeine,potassium depletion
citalopram,8-hydroacy-desmethylclomipramine plasma level decrease
citalopram,desmethylclomipramine plasma level increase
indinavir,angiolipomas
clozapine,elevated serum triglycerides
clozapine,serum triglyceride levels increased
clozapine,elevated serum triglyceride levels
valproate,hypotension
pyridostigmine,rippling phenomena worsened
theophylline,theophylline poisoning
theophylline,intoxication
theophylline,theophylline intoxication
ifosfamide,ifosfamide-induced encephalopathy
ifosfamide,encephalopathy
f viii,portal vein thrombosis
gliclazide,acute icteric hepatitis-like illness
gliclazide,acute hepatitis
gliclazide,acute icteric liver necro-inflammation
tca,cushing's syndrome
nitrofurantoin,abnormal computed tomographic scans
nitrofurantoin,impaired lung function
nitrofurantoin,bronchiolitis obliterans organising pneumonia
nitrofurantoin,boop
nitrofurantoin,lung disease
nitrofurantoin,fatal outcome
nitrofurantoin,nitrofurantoin induced boop
nitrofurantoin,lung injury
nitrofurantoin,respiratory symptoms
nitrofurantoin,nitrofurantoin induced lung injury
interferon-alpha,akathisia
interferon-alpha,neurotoxicity
cyclophosphamide,acute erythroid leukemia
cyclophosphamide,carcinoma
uft,scleroderma-like reaction
uracil-tegafur,scleroderma-like reaction
uft,uft-induced scleroderma-like reaction
ibuprofen,central nervous system manifestations
ibuprofen,dizziness
ibuprofen,gi upset
ibuprofen,mild sedation
ibuprofen,ibuprofen intoxication
ibuprofen,depressed level of consciousness
flecainide,acute respiratory failure
flecainide,pneumonitis
flecainide,hypersensitivity pneumonitis
flecainide,interstitial hypoxaemiant pneumonitis
l-asparaginase,sagittal sinus thrombosis
l-asparaginase,transient free protein s deficiency
l-asparaginase,seizure
l-asparaginase,transient ischemic attacks
minocycline,benign intracranial hypertension
vaccination against hepatitis b,polyarteritis nodosa
methotrexate,lung cancer
cocaine,refractory coronary vasospasm
troglitazone,liver injury
troglitazone,hepatotoxicity
troglitazone,irreversible liver injury
troglitazone,fulminant hepatic failure
nitrofurantoin,distortion of the lung parenchyma
nitrofurantoin,fibrosis
nitrofurantoin,pulmonary toxicity
nitrofurantoin,widespread reticular pattern
fluoxetine,death
fluoxetine,fluoxetine toxicity
zolmitriptan,spinal cord lesion
zolmitriptan,spinal cord infarction
carboplatin,hypersensitivity
nimesulide,renal insufficiency
nimesulide,adverse effect of fetal renal circulation
etoposide,t-aml
etoposide,secondary leukemia
cyanamide,hepatic lesion with ground-glass inclusion bodies
cyanamide,general fatigue
cyanamide,fatigue
cyanamide,fever
cyanamide,elevation of serum transaminases
cyanamide,ground-glass hepatocytes
cyanamide,septum-like liver fibrosis
cyanamide,liver dysfunction
cyanamide,inflammation
tacrolimus,sudden cutaneous reaction
morphine,nonconvulsive status epilepticus
naloxone,generalized tonic-clonic seizure
vasopressin,bacterial peritonitis
risperidone,eps
risperidone,extrapyramidal symptoms
chop,multiple abscesses
ethambutol,anti-native dna antibodies
ethambutol,hepatitis
ethambutol,polyarthritis
ethambutol,rash
rifampicin,anti-native dna antibodies
rifampicin,hepatitis
rifampicin,polyarthritis
methylprednisolone,normotensive scleroderma renal crisis
mitomycin c,hus
carboplatin,severe hemolytic uremic syndrome
gemcitabine,severe hemolytic uremic syndrome
carboplatin,hus
gemcitabine,hus
valproate,menstrual cycle disturbances
sodium valproate,hyperandrogenism
sodium valproate,menstrual disorders
sodium valproate,polycystic ovaries
sodium valproate,reproductive endocrine disorders
valproate,reproductive endocrine disorders
valproate,reproductive endocrine disorder
valproate,serum testosterone
valproate,amenorrhea
valproate,gained weight
valproate,polycystic changes
cya,staphylococcus aureus sepsis
cyclosporine,lethal
cyclosporine,septicemia
colchicine,proximal muscle weakness
colchicine,myopathy
colchicine,vacuolated fibers
colchicine,variation in muscle fiber size
paclitaxel,disabling neurotoxicity
paclitaxel,neurotoxicity
paclitaxel,phantom limb pain
paclitaxel,plp
phenylbutazone,serum sickness-like reactions
phenylbutazone,skin manifestations
atenolol,atenolol toxicity
gemfibrozil,eosinophilic gastroenteritis
gemfibrozil,ege
lamivudine,lactic acidosis
stavudine,lactic acidosis
propafenone,ataxia
propafenone,adverse central nervous system effects
propafenone,dizziness
pilsicainide,loss of consciousness
pilsicainide,life-threatening arrhythmias
risperidone,dystonia
tiagabine,non-convulsive status epilepticus
lithium,organic brain syndromes
lithium,intense anxiety
lithium,neurotoxicity
lithium,psychotic symptoms
carbamazepine,carbamazepine toxicity
ritonavir,carbamazepine toxicity
saquinavir,carbamazepine toxicity
carbamazepine,progressive ataxia
ritonavir,progressive ataxia
saquinavir,progressive ataxia
ritonavir,clinical toxicity
ritonavir,diminishing carbamazepine metabolism
ritonavir,increase in serum levels
calcitonin,anaphylaxis
calcitonin,anaphylaxis 
miacalcic,anaphylactic reaction
calcitonin,conjunctivitis
calsynar,conjunctivitis
calcitonin,perspiration
calsynar,perspiration
calcitonin,rhinitis
calsynar,rhinitis
minocycline,autoimmune hepatitis
l-asparaginase,central nervous toxicity
l-asparaginase,seizures
l-asparaginase,hemorrhagic
l-asparaginase,thrombotic cerebrovascular events
cilastatin,neutropenic fever
imipenem,neutropenic fever
cilastatin,seizures
imipenem,seizures
cilastatin,proconvulsive
imipenem,proconvulsive
cilastatin,convulsions
imipenem,convulsions
cilastatin,seizure
imipenem,seizure
gabapentin,hypomanic
gabapentin,mood changes
gabapentin,behavioural side effects
gbp,behavioural side effects
5-aminosalicylic acid,acute pancreatitis
vigabatrin,visual field constriction
vigabatrin,visual field loss
vigabatrin,field defects
interferon,depressive symptoms
ifn-alpha,psychiatric side effects
interferon alpha,psychiatric side effects
ifn-alpha,changes in serotonergic or noradrenergic neurotransmission
vancomycin,vancomycin toxicity
hyperbaric oxygen,morbidity
0.1% tretinoin cream,brown discolouration of the fingernails
4% hydroquinone in sorbolene cream,brown discolouration of the fingernails
hydroquinone,nail staining
bleomycin,gangrene
methotrexate,gangrene
bleomycin,acral vascular toxicity
bleomycin,acute digital ischemia
methotrexate,acute digital ischemia
warfarin,diarrhea-associated over-anticoagulation
warfarin,diarrhea
warfarin,over-anticoagulation
pccs,mi
prothrombin complex concentrate,myocardial infarction
pcc,mi
quinine,thrombocytopenia
colchicine,colchicine intoxication
colchicine,near fatal
fludarabine,acute myeloid leukemia
fludarabine,lung cancer
fludarabine,aml
lithium carbonate,incontinence
paroxetine,incontinence
sertraline,incontinence
venlafaxine,incontinence
heparin,hit
lead,high blood lead level
lead,hypertension
lead,lead-induced hypertension
lead,lead toxicity
nevirapine,severe rash
nevirapine,sjs
nevirapine,stevens-johnson syndrome
acarbose,ileus
losartan,increases urate excretion
etanercept,atrial fibrillation
