Drug_Name,Interactions
Etanercept,"Pimecrolimus, Trastuzumab, Abatacept, Rabies virus inactivated antigen, A, Belimumab, Infliximab, Sipuleucel-T, Vedolizumab, Denosumab, Tocilizumab, Tofacitinib, Anakinra, Leflunomide, Canakinumab, Cyclophosphamide, Natalizumab, Rilonacept, Certolizumab pegol, Roflumilast, Tacrolimus"
Bivalirudin,"Ibrutinib, Edoxaban, Tenecteplase, Rivaroxaban, Treprostinil, Nintedanib, Warfarin, Fondaparinux, Acetylsalicylic acid, Edetic acid, Tositumomab, Obinutuzumab, Heparin, Enoxaparin, Ridogrel, Vitamin E, Dasatinib, Phenindione, Urokinase, Streptokinase, Acenocoumarol, Deoxycholic acid, Tibolone, Dabigatran etexilate, Dalteparin, Tipranavir, Chlorotrianisene, Omacetaxine mepesuccinate, Citric acid, Infliximab, Progesterone, Pentosan polysulfate, Phenprocoumon, Desogestrel, Deferasirox, Apixaban, Dydrogesterone, Reteplase, Gestodene, Sulodexide, Vorapaxar, Anistreplase, Sugammadex, Ethyl biscoumacetate, Limaprost, Abciximab, Omega-3 fatty acids, Ibritumomab tiuxetan, Alteplase, Dicoumarol"
Leuprolide,"Tolbutamide, Pentamidine, Linagliptin, Protriptyline, Bromocriptine, Sulfisoxazole, Ezogabine, Haloperidol, Insulin degludec, Atomoxetine, Famotidine, Insulin aspart, Metoclopramide, Felbamate, Paliperidone, Iloperidone, Gadobenic acid, Mirtazapine, Venlafaxine, Panobinostat, Escitalopram, Fosphenytoin, Eliglustat, Metformin, Tamoxifen, Tizanidine, Mirabegron, Olanzapine, Repaglinide, Promethazine, Ofloxacin, Imipramine, Citalopram, Bedaquiline, Domperidone, Lopinavir, Albiglutide, Foscarnet, Rosiglitazone, Gliquidone, Desflurane, Dronedarone, Mifepristone, Amitriptyline, Acetohexamide, Propafenone, Granisetron, Empagliflozin, Nilotinib, Telavancin, Sotalol, Ciprofloxacin, Sunitinib, Triptorelin, Insulin lispro, Thioridazine, Glipizide, Vorinostat, Pasireotide, Acarbose, Dofetilide, Fluoxetine, Lumefantrine, Cisapride, Atazanavir, Ibandronate, Dasatinib, Saxagliptin, Dabrafenib, Miglitol, Bosutinib, Degarelix, Nelfinavir, Primaquine, Chloroquine, Nicardipine, Terbutaline, Crizotinib, Trimethoprim, Quetiapine, Trimipramine, Insulin glulisine, Insulin detemir, Trazodone, Solifenacin, Vandetanib, Isoflurane, Nortriptyline, Olodaterol, Insulin human, Chlorpropamide, Exenatide, Bortezomib, Itraconazole, Ritonavir, Ranolazine, Glimepiride, Risperidone, Flecainide, Glyburide, Indacaterol, Fingolimod, Tolazamide, Flupentixol, Salmeterol, Thiothixene, Disopyramide, Methotrimeprazine, Nateglinide, Arsenic trioxide, Galantamine, Sevoflurane, Desipramine, Treprostinil, Posaconazole, Indapamide, Asenapine, Mefloquine, Ziprasidone, Tacrolimus, Liraglutide, Lithium cation, Ketoconazole, Maprotiline, Ibutilide, Goserelin, Toremifene, Gliclazide, Ceritinib, Norfloxacin, Octreotide, Tolterodine, Metronidazole, Methadone, Doxepin, Clarithromycin, Levofloxacin, Procainamide, Sorafenib, Amoxapine, Paroxetine, Quinine, Canagliflozin, Alogliptin, Rilpivirine, Pramlintide, Lenvatinib, Tetrabenazine, Choline C 11, Osimertinib, Dolasetron, Fluticasone propionate, Aripiprazole, Alfuzosin, Lapatinib, Erythromycin, Sertraline, Perflutren, Pioglitazone, Amantadine, Isradipine, Hydroxyzine, Sulfamethoxazole, Ondansetron, Dapagliflozin, Buserelin, Moexipril, Eribulin, Oxytocin, Corifollitropin alfa, Sitagliptin, Chlorpromazine, Propofol, Arformoterol, Quinidine, Pimozide, Diphenhydramine, Ivabradine, Anagrelide, Clomipramine, Dulaglutide, Histrelin, Pazopanib, Moxifloxacin, Clozapine, Amiodarone, Droperidol, Vildagliptin, Voriconazole, Vemurafenib, Apomorphine, Artemether, Formoterol, Salbutamol, Vilanterol, Fluconazole, Insulin glargine, Saquinavir, Promazine, Vardenafil, Gemifloxacin, Capromab pendetide, Telithromycin, Zuclopenthixol, Azithromycin"
Peginterferon alfa-2a,"Clozapine, Metamizole, Tizanidine, Aldesleukin, Theophylline, Aminophylline, Methadone, Telbivudine, Ribavirin, Pegloticase, Zidovudine"
Alteplase,"Fenoprofen, Salsalate, Naproxen, Cilostazol, Epoprostenol, Dalteparin, Desvenlafaxine, Citalopram, Floctafenine, Apixaban, Desirudin, Warfarin, Treprostinil, Flurbiprofen, Abciximab, Nadroparin, Limaprost, Eptifibatide, Aprotinin, Sulindac, Heparin, Cangrelor, Edoxaban, Oxaprozin, Anagrelide, Dabigatran etexilate, Sulodexide, Magnesium salicylate, Acenocoumarol, Levomilnacipran, Vorapaxar, Venlafaxine, Ketorolac, Phenindione, Fondaparinux, Iloprost, Danaparoid, Edetic acid, Fluvoxamine, Vortioxetine, Ticagrelor, Piroxicam, Dipyridamole, Tiaprofenic acid, Ibuprofen, Etodolac, Prasugrel, Nitroglycerin, Milnacipran, Enoxaparin, Acetylsalicylic acid, Tirofiban, Ethyl biscoumacetate, Sertraline, Aminosalicylic acid, Diclofenac, Caffeine, Phenprocoumon, Bismuth subsalicylate, Mefenamic acid, Clopidogrel, Tolmetin, Argatroban, Indomethacin, Meloxicam, Diflunisal, Ketoprofen, Paroxetine, Fluoxetine, Citric acid, Tinzaparin, Rivaroxaban, Escitalopram, Ticlopidine, Nabumetone, Duloxetine, Dihydrocodeine, Vilazodone, Dicoumarol"
Darbepoetin alfa,"Thalidomide, Nandrolone phenpropionate, Lenalidomide"
Urokinase,"Clopidogrel, Indomethacin, Oxaprozin, Cilostazol, Prasugrel, Dabigatran etexilate, Diclofenac, Anagrelide, Floctafenine, Apixaban, Acetylsalicylic acid, Magnesium salicylate, Nabumetone, Ticagrelor, Fluvoxamine, Vortioxetine, Epoprostenol, Fenoprofen, Vilazodone, Nadroparin, Aminosalicylic acid, Eptifibatide, Acenocoumarol, Piroxicam, Caffeine, Dipyridamole, Tiaprofenic acid, Iloprost, Argatroban, Paroxetine, Ketorolac, Salsalate, Dalteparin, Diflunisal, Aprotinin, Mefenamic acid, Ticlopidine, Tirofiban, Milnacipran, Desirudin, Ketoprofen, Edoxaban, Levomilnacipran, Enoxaparin, Rivaroxaban, Fluoxetine, Flurbiprofen, Duloxetine, Dihydrocodeine, Abciximab, Cangrelor, Venlafaxine, Treprostinil, Bismuth subsalicylate, Danaparoid, Naproxen, Tolmetin, Tinzaparin, Sertraline, Fondaparinux, Ibuprofen, Warfarin, Citalopram, Heparin, Etodolac, Desvenlafaxine, Escitalopram, Sulindac, Meloxicam, Vorapaxar"
Goserelin,"Dofetilide, Lopinavir, Paroxetine, Bortezomib, Desflurane, Propafenone, Lithium cation, Vardenafil, Promazine, Dolasetron, Ofloxacin, Granisetron, Galantamine, Salbutamol, Ivabradine, Famotidine, Trimipramine, Oxytocin, Atazanavir, Eribulin, Mifepristone, Clarithromycin, Metoclopramide, Vandetanib, Metformin, Ranolazine, Ciprofloxacin, Perflutren, Gliquidone, Arsenic trioxide, Rilpivirine, Alogliptin, Paliperidone, Lapatinib, Insulin detemir, Moexipril, Sulfisoxazole, Felbamate, Chlorpropamide, Trimethoprim, Lenvatinib, Sorafenib, Flecainide, Nelfinavir, Citalopram, Glyburide, Foscarnet, Chlorpromazine, Insulin human, Corifollitropin alfa, Methadone, Alfuzosin, Sunitinib, Primaquine, Flupentixol, Arformoterol, Solifenacin, Hydroxyzine, Voriconazole, Mirtazapine, Osimertinib, Isoflurane, Crizotinib, Desipramine, Haloperidol, Ziprasidone, Anagrelide, Propofol, Fluconazole, Olodaterol, Choline C 11, Nilotinib, Erythromycin, Ketoconazole, Octreotide, Saquinavir, Insulin glargine, Acetohexamide, Nicardipine, Telithromycin, Formoterol, Indapamide, Apomorphine, Histrelin, Escitalopram, Metronidazole, Isradipine, Fluoxetine, Vildagliptin, Vorinostat, Norfloxacin, Protriptyline, Treprostinil, Fingolimod, Amantadine, Procainamide, Amiodarone, Levofloxacin, Olanzapine, Zuclopenthixol, Dasatinib, Gadobenic acid, Degarelix, Asenapine, Pimozide, Diphenhydramine, Tolterodine, Tetrabenazine, Chloroquine, Dabrafenib, Fluticasone propionate, Insulin glulisine, Ezogabine, Triptorelin, Sotalol, Ritonavir, Artemether, Ondansetron, Capromab pendetide, Ibandronate, Bosutinib, Quinine, Buserelin, Amoxapine, Panobinostat, Pasireotide, Fosphenytoin, Amitriptyline, Droperidol, Gliclazide, Salmeterol, Saxagliptin, Vemurafenib, Disopyramide, Imipramine, Doxepin, Ibutilide, Clozapine, Terbutaline, Thiothixene, Toremifene, Cisapride, Thioridazine, Dronedarone, Promethazine, Glimepiride, Linagliptin, Repaglinide, Indacaterol, Maprotiline, Sertraline, Lumefantrine, Insulin aspart, Azithromycin, Risperidone, Venlafaxine, Nortriptyline, Eliglustat, Vilanterol, Telavancin, Methotrimeprazine, Bedaquiline, Sulfamethoxazole, Pentamidine, Mirabegron, Iloperidone, Sevoflurane, Gemifloxacin, Moxifloxacin, Tolbutamide, Quinidine, Ceritinib, Trazodone, Posaconazole, Clomipramine, Domperidone, Canagliflozin, Tizanidine, Insulin lispro, Atomoxetine, Quetiapine, Pazopanib, Mefloquine, Tacrolimus, Tamoxifen, Itraconazole, Aripiprazole"
Reteplase,"Ethyl biscoumacetate, Levomilnacipran, Ketoprofen, Escitalopram, Aminosalicylic acid, Meloxicam, Enoxaparin, Bismuth subsalicylate, Apixaban, Ticagrelor, Floctafenine, Phenprocoumon, Tirofiban, Venlafaxine, Treprostinil, Rivaroxaban, Ticlopidine, Duloxetine, Piroxicam, Desirudin, Edoxaban, Dabigatran etexilate, Mefenamic acid, Desvenlafaxine, Tolmetin, Fluvoxamine, Diclofenac, Vilazodone, Fondaparinux, Acetylsalicylic acid, Iloprost, Anagrelide, Nadroparin, Prasugrel, Diflunisal, Etodolac, Milnacipran, Sertraline, Dihydrocodeine, Argatroban, Salsalate, Danaparoid, Phenindione, Edetic acid, Sulindac, Dipyridamole, Clopidogrel, Flurbiprofen, Ibuprofen, Fluoxetine, Citalopram, Eptifibatide, Vorapaxar, Warfarin, Tiaprofenic acid, Abciximab, Nabumetone, Dicoumarol, Indomethacin, Magnesium salicylate, Acenocoumarol, Fenoprofen, Heparin, Limaprost, Citric acid, Cilostazol, Caffeine, Cangrelor, Oxaprozin, Sulodexide, Naproxen, Dalteparin, Epoprostenol, Tinzaparin, Paroxetine, Ketorolac, Vortioxetine, Aprotinin"
Erythropoietin,"Thalidomide, Lenalidomide, Nandrolone phenpropionate"
