Interaction,Drug_Name
Pimecrolimus,Etanercept
Trastuzumab,Etanercept
Abatacept,Etanercept
Rabies virus inactivated antigen,Etanercept
Belimumab,Etanercept
Infliximab,Etanercept
Sipuleucel-T,Etanercept
Vedolizumab,Etanercept
Denosumab,Etanercept
Tocilizumab,Etanercept
Tofacitinib,Etanercept
Anakinra,Etanercept
Leflunomide,Etanercept
Canakinumab,Etanercept
Cyclophosphamide,Etanercept
Natalizumab,Etanercept
Rilonacept,Etanercept
Certolizumab pegol,Etanercept
Roflumilast,Etanercept
Tacrolimus,Etanercept
Ibrutinib,Bivalirudin
Edoxaban,Bivalirudin
Tenecteplase,Bivalirudin
Rivaroxaban,Bivalirudin
Treprostinil,Bivalirudin
Nintedanib,Bivalirudin
Warfarin,Bivalirudin
Fondaparinux,Bivalirudin
Acetylsalicylic acid,Bivalirudin
Edetic acid,Bivalirudin
Tositumomab,Bivalirudin
Obinutuzumab,Bivalirudin
Heparin,Bivalirudin
Enoxaparin,Bivalirudin
Ridogrel,Bivalirudin
Vitamin E,Bivalirudin
Dasatinib,Bivalirudin
Phenindione,Bivalirudin
Urokinase,Bivalirudin
Streptokinase,Bivalirudin
Acenocoumarol,Bivalirudin
Deoxycholic acid,Bivalirudin
Tibolone,Bivalirudin
Dabigatran etexilate,Bivalirudin
Dalteparin,Bivalirudin
Tipranavir,Bivalirudin
Chlorotrianisene,Bivalirudin
Omacetaxine mepesuccinate,Bivalirudin
Citric acid,Bivalirudin
Infliximab,Bivalirudin
Progesterone,Bivalirudin
Pentosan polysulfate,Bivalirudin
Phenprocoumon,Bivalirudin
Desogestrel,Bivalirudin
Deferasirox,Bivalirudin
Apixaban,Bivalirudin
Dydrogesterone,Bivalirudin
Reteplase,Bivalirudin
Gestodene,Bivalirudin
Sulodexide,Bivalirudin
Vorapaxar,Bivalirudin
Anistreplase,Bivalirudin
Sugammadex,Bivalirudin
Ethyl biscoumacetate,Bivalirudin
Limaprost,Bivalirudin
Abciximab,Bivalirudin
Omega-3 fatty acids,Bivalirudin
Ibritumomab tiuxetan,Bivalirudin
Alteplase,Bivalirudin
Dicoumarol,Bivalirudin
Tolbutamide,Leuprolide
Pentamidine,Leuprolide
Linagliptin,Leuprolide
Protriptyline,Leuprolide
Bromocriptine,Leuprolide
Sulfisoxazole,Leuprolide
Ezogabine,Leuprolide
Haloperidol,Leuprolide
Insulin degludec,Leuprolide
Atomoxetine,Leuprolide
Famotidine,Leuprolide
Insulin aspart,Leuprolide
Metoclopramide,Leuprolide
Felbamate,Leuprolide
Paliperidone,Leuprolide
Iloperidone,Leuprolide
